source_path,source_kind,terminal_disposition,target_entity_ids,variant_or_state_binding,confidence,evidence_level,owner_question_required,rationale
site/src/components/EventTransportSchedule.astro,file,maps_to_component,transport.rail-schedule,,high,candidate_as_is_contract_and_current_source,false,Rail schedule has a distinct domain anatomy/state/responsive contract.
site/src/components/ExhibitionPrototypeRow.astro,file,experiment_unresolved,exhibition.row,,high,live_tree,false,
site/src/components/ExhibitionsPersonalSurface.astro,file,maps_to_composition,exhibitions.personal-surface,,medium,live_tree,false,
site/src/components/FavoritesSurface.astro,file,maps_to_composition,favorites.surface,,medium,live_tree,false,
site/src/components/FocusConnectivityDiagnostic.astro,file,maps_to_composition,focus.diagnostic,,medium,live_tree,false,
site/src/components/FocusEggArtifact.astro,file,experiment_unresolved,focus.easter-egg,artifact,high,live_tree,false,
site/src/components/FocusEggCollectionCard.astro,file,experiment_unresolved,focus.easter-egg,collection-card,high,live_tree,false,
site/src/components/FocusEggSavedListDemo.astro,file,experiment_unresolved,focus.easter-egg,saved-list-demo,high,live_tree,false,
site/src/components/FocusGroupFeedback.astro,file,maps_to_composition,focus.feedback-form,,medium,live_tree,false,
site/src/components/FocusGroupInviteIntake.astro,file,maps_to_composition,focus.invite-intake,,medium,live_tree_and_focus_audit,false,
site/src/components/FocusGroupInviteShare.astro,file,maps_to_component,focus.invite-share,,medium,live_tree,false,
site/src/components/FocusGroupLabPanel.astro,file,evidence_or_lab_only,focus.lab-panel,,high,live_tree,false,
site/src/components/FocusGroupThankYou.astro,file,maps_to_component,focus.thank-you,,medium,live_tree,false,
site/src/components/FocusLabBadge.astro,file,maps_to_variant,core.badge,tone=lab,medium,live_tree,false,
site/src/components/FocusPwaInstallAction.astro,file,maps_to_variant,core.pwa-install-action,context=focus-group,medium,live_tree,false,
site/src/components/FreeCollectionSurface.astro,file,maps_to_composition,page.collection.free,,medium,live_tree,false,
site/src/components/GastronomyCollectionSurface.astro,file,maps_to_composition,page.collection.gastronomy,,medium,live_tree,false,
site/src/components/HomeColdStartFeed.astro,file,maps_to_composition,home.cold-start-feed,,high,live_tree_and_static_site_docs,false,
site/src/components/HomeHeroTalk.astro,file,maps_to_variant,talk.message,placement=hero,high,product_architecture,false,
site/src/components/HomeQuickNav.astro,file,maps_to_component,home.quick-navigation,,medium,live_tree,false,
site/src/components/Icon.astro,file,maps_to_component,core.icon,,high,live_tree,false,
site/src/components/InterestClubCard.astro,file,maps_to_component,club.card,,high,live_tree,false,
site/src/components/InterestProfile.astro,file,maps_to_composition,interest.profile,,medium,live_tree,false,
site/src/components/KaupTransportSchedule.astro,file,maps_to_component,transport.kaup-schedule,baseline=experiment-off,high,candidate_as_is_contract_and_current_source,false,Production KAUP baseline is a component candidate; hosted treatments remain experimental.
site/src/components/KeyboardEventNavigation.astro,file,nonvisual_runtime,navigation.keyboard-enhancement,status=current,high,behavioral_corpus,false,
site/src/components/KeyboardEventNavigationPrototype.astro,file,experiment_unresolved,experiment.keyboard-navigation,,high,accessibility_audit,false,
site/src/components/ListingPersonalFilter.astro,file,maps_to_component,personalization.filter,,medium,live_tree,false,
site/src/components/MobileBottomNav.astro,file,maps_to_component,navigation.mobile-tab-bar,,high,direct_source_review,false,
site/src/components/MobileEventProductionStyles.astro,file,nonvisual_runtime,runtime.mobile-event-styles,,high,live_tree,false,
site/src/components/MobileSearchBottomNav.astro,file,maps_to_variant,navigation.mobile-tab-bar,current=search; compatibility-wrapper=true,high,exact_current_source_reachability_and_wrapper_review,false,Unreferenced compatibility wrapper delegates all DOM and semantics to MobileBottomNav with current=search.
site/src/components/MobileToastRegion.astro,file,maps_to_component,core.toast-region,,medium,live_tree,false,
site/src/components/OptimizedEventCardGrid.astro,file,maps_to_composition,event.card-grid,layout=optimized-equal-row,high,live_tree,false,
site/src/components/PersonalFeedSlot.astro,file,maps_to_composition,personal-feed.slot,,high,live_tree,false,
site/src/components/PrelaunchPage.astro,file,legacy_preserved,page.prelaunch,,medium,live_tree,false,
site/src/components/PwaInstallAction.astro,file,maps_to_component,core.pwa-install-action,context=standard,medium,live_tree,false,
site/src/components/PwaTelemetry.astro,file,nonvisual_runtime,runtime.pwa-telemetry,,high,live_tree,false,
site/src/components/Reference4MobileMenu.astro,file,maps_to_component,navigation.mobile-menu,,medium,live_tree,false,
site/src/components/SearchCollectionLinks.astro,file,maps_to_component,navigation.search-context-links,,medium,live_tree,false,
site/src/components/ServiceShareAction.astro,file,maps_to_variant,core.share-action,content=service,high,live_tree,false,
site/src/components/SiteFooter.astro,file,maps_to_component,site.footer,,medium,live_tree,false,
site/src/components/SocialIcon.astro,file,maps_to_variant,core.icon,role=social,high,live_tree,false,
site/src/components/UnusualListingSurface.astro,file,maps_to_composition,page.listing-unusual,,medium,live_tree,false,
site/src/components/UnusualUnreadRuntime.astro,file,nonvisual_runtime,runtime.unusual-unread,,high,live_tree,false,
site/src/components/WeatherDateContext.astro,file,nonvisual_runtime,runtime.weather-date-context,,medium,live_tree,false,
site/src/components/artifacts/ArtifactCollection.astro,file,maps_to_composition,artifact.collection,,medium,live_tree,false,
site/src/components/auth/StaticSiteAuthRuntime.astro,file,nonvisual_runtime,runtime.static-auth,,high,file_library_exact_path,false,
site/src/components/brand/AnnouncementsLockup.astro,file,maps_to_component,brand.lockup,,high,exact_current_source_binding,false,Distinct reusable brand identity source; detailed visual values remain source-derived.
site/src/components/brand/AnnouncementsWordmark.astro,file,maps_to_component,brand.wordmark,,high,exact_current_source_binding,false,Distinct reusable wordmark source nested by the lockup.
site/src/components/clubCatalogNavigation.mjs,file,nonvisual_runtime,runtime.club-catalog-navigation,,high,live_tree,false,
site/src/components/design-system/Badge.astro,file,maps_to_component,core.badge,,medium,live_tree,false,
site/src/components/design-system/Button.astro,file,maps_to_component,core.button,,medium,live_tree,false,
site/src/components/design-system/CopyAction.astro,file,maps_to_component,core.copy-action,,high,live_tree,false,
site/src/components/design-system/Field.astro,file,maps_to_component,core.field,,medium,live_tree,false,
site/src/components/design-system/StatePanel.astro,file,maps_to_component,core.state-panel,,high,live_tree,false,
site/src/components/lab/MobileEventReviewPage.astro,file,evidence_or_lab_only,page.mobile-event-review,,high,live_tree,false,
site/src/components/listings/AmberRailArtifact.astro,file,experiment_unresolved,artifact.rail-insert,placement=listing-rail,high,live_tree,false,
site/src/components/listings/DateListingSurface.astro,file,maps_to_composition,page.listing-date,,high,live_tree,false,
site/src/components/listings/ExactTimeTimeline.astro,file,maps_to_variant,listing.timeline,presentation=exact-time,medium,live_tree,false,
site/src/components/listings/ListingControls.astro,file,maps_to_component,listing.controls,,medium,live_tree,false,
site/src/components/listings/ListingDiscoveryRail.astro,file,maps_to_composition,listing.discovery-rail,viewport=desktop,high,live_tree,false,
site/src/components/listings/ListingEventCard.astro,file,maps_to_component,listing.event-card,,high,exact_current_source_dom_a11y_consumer_reconciliation,false,"Listing density, evidence rails, ordinary-link focus topology and absence of feedback actions require a separate component identity."
site/src/components/listings/ListingMobileDensitySwitch.astro,file,maps_to_component,listing.density-switch,,medium,live_tree,false,
site/src/components/listings/ListingPageHeader.astro,file,maps_to_component,listing.page-header,,medium,live_tree,false,
site/src/components/listings/ListingTimeMarker.astro,file,maps_to_component,listing.time-marker,,medium,live_tree,false,
site/src/components/listings/ListingTimeNav.astro,file,maps_to_component,listing.time-navigation,context=date,medium,live_tree,false,
site/src/components/listings/ListingWeekendTimeNav.astro,file,maps_to_variant,listing.time-navigation,context=weekend,medium,live_tree,false,
site/src/components/listings/MobileDateAccessory.astro,file,maps_to_component,listing.date-accessory,,low,live_tree,false,
site/src/components/listings/MobileListingRailRow.astro,file,maps_to_component,listing.rail-row,viewport=mobile,medium,live_tree,false,
site/src/components/listings/MobileListingRailSurface.astro,file,maps_to_variant,listing.discovery-rail,viewport=mobile,high,live_tree,false,
site/src/components/listings/PopularBehaviorRows.astro,file,maps_to_component,listing.behavior-row,presentation=desktop,medium,live_tree,false,
site/src/components/listings/PopularCategoryFilter.astro,file,maps_to_component,listing.category-filter,,medium,live_tree,false,
site/src/components/listings/PopularListingSurface.astro,file,maps_to_composition,page.listing-popular,,high,live_tree,false,
site/src/components/listings/PopularMobileAdaptiveRows.astro,file,maps_to_variant,listing.behavior-row,presentation=mobile-adaptive,medium,live_tree,false,
site/src/components/listings/PopularMobileBehaviorRows.astro,file,maps_to_variant,listing.behavior-row,presentation=mobile,medium,live_tree,false,
site/src/components/listings/PopularMobileGroupContext.astro,file,maps_to_component,listing.group-context,,low,live_tree,false,
site/src/components/listings/PopularPersonalizedRow.astro,file,maps_to_component,listing.personalized-row,,medium,live_tree,false,
site/src/components/listings/WeekendEditorialTimeline.astro,file,maps_to_variant,listing.timeline,presentation=editorial,medium,live_tree,false,
site/src/components/listings/WeekendListingSurface.astro,file,maps_to_composition,page.listing-weekend,,high,live_tree,false,
site/src/components/listings/WeekendRangeNav.astro,file,maps_to_component,listing.range-navigation,context=weekend,medium,live_tree,false,
site/src/components/listings/WeekendTimeMatrix.astro,file,maps_to_variant,listing.timeline,presentation=matrix,medium,live_tree,false,
site/src/components/onboarding/StandardOnboardingPlacementContext.astro,file,nonvisual_runtime,runtime.onboarding-placement-context,,high,exact_current_source_binding,false,Context/state resolver; downstream placement owns visual representation.
site/src/components/personalization/PersonalizationRuntime.astro,file,nonvisual_runtime,runtime.personalization,,high,exact_current_source_binding,false,Personalization/reranking runtime; visual output is owned by feed/filter/card consumers.
site/src/components/transport/DepartureBoardTimetable.astro,file,experiment_unresolved,experiment.transport-timetable,treatment=departure-board,high,candidate_as_is_contract_and_current_source,false,Explicit experiment treatment; no winner receipt.
site/src/components/transport/NextDepartureQueueTimetable.astro,file,experiment_unresolved,experiment.transport-timetable,treatment=next-departure-queue,high,candidate_as_is_contract_and_current_source,false,Explicit experiment treatment; no winner receipt.
site/src/components/transport/RouteStripsTimetable.astro,file,experiment_unresolved,experiment.transport-timetable,treatment=route-strips,high,candidate_as_is_contract_and_current_source,false,Explicit experiment treatment; no winner receipt.
site/src/components/transport/TransportJourneyAlerts.astro,file,maps_to_component,transport.journey-alerts,,medium,live_tree,false,
site/src/components/transport/TransportRouteHeading.astro,file,maps_to_component,transport.route-heading,,medium,live_tree,false,
site/src/components/transport/TransportTimetableExperiment.astro,file,experiment_unresolved,experiment.transport-timetable,,high,live_tree,false,
